"inventoryid","inventorydate","year","month","partid","partname","partcode","partcategory","partdescription","supplierid","suppliername","suppliercity","suppliercountry","supplierrating","warehouseid","warehousename","warehouselocation","warehousecity","quantityonhand","quantityreserved","quantitydamaged","availablequantity","reorderlevel","reorderquantity","leadtimedays","unitcost","totalcost","supplierleadtime","receivedate","invoicenumber","invoiceamount","status","expirydate","storagelocation","laststockupdate","notes"
"INV00000020","2024-02-16",2024,5,"PART000021","Part 21","PC846685","Raw Material","Essential component Part 21","SUP0021","Supplier 21","Hyderabad","India","4.56","WH01","Warehouse 1","North","Hyderabad",39175,9587,0,29588,2910,6449,46,"829.54","24544429.52",89,"2024-03-19","INV605979","67070.67","Available","2025-05-12","Rack-97","2024-12-06","Stock level: 39175 units, Supplier rating: 4.56"
"INV00000021","2024-03-21",2024,3,"PART000022","Part 22","PC476878","Component","Essential component Part 22","SUP0022","Supplier 22","Chennai","India","2.4","WH02","Warehouse 2","South","Chennai",24311,10684,155,13472,3672,6040,53,"818.63","11028583.36",73,"2024-06-07","INV257868","85692.87","Low Stock","null","Rack-52","2024-11-23","Stock level: 24311 units, Supplier rating: 2.4"
"INV00000022","2024-10-11",2024,9,"PART000023","Part 23","PC698251","Subassembly","Essential component Part 23","SUP0023","Supplier 23","Kolkata","India","2.19","WH03","Warehouse 3","East","Kolkata",5409,5245,0,164,2049,8824,54,"16.8","2755.2",59,"2024-11-06","INV103172","24101.57","Out of Stock","null","Rack-58","2024-12-11","Stock level: 5409 units, Supplier rating: 2.19"
"INV00000023","2024-11-04",2024,8,"PART000024","Part 24","PC425527","Tool","Essential component Part 24","SUP0024","Supplier 24","Jaipur","India","3.34","WH04","Warehouse 4","West","Jaipur",48958,30878,33,18047,773,15119,60,"426.68","7700293.96",44,"2024-05-14","INV553208","39616.12","Discontinued","null","Rack-15","2024-09-25","Stock level: 48958 units, Supplier rating: 3.34"
"INV00000024","2024-08-08",2024,9,"PART000025","Part 25","PC867077","Packaging","Essential component Part 25","SUP0025","Supplier 25","Mumbai","India","2.01","WH05","Warehouse 5","Central","Mumbai",37923,2469,269,35185,2190,3682,35,"592.83","20858723.55",6,"2024-09-12","INV462911","29674.9","On Order","null","Rack-55","2024-06-08","Stock level: 37923 units, Supplier rating: 2.01"
"INV00000025","2024-02-05",2024,9,"PART000026","Part 26","PC966601","Raw Material","Essential component Part 26","SUP0026","Supplier 26","Delhi","India","3.79","WH06","Warehouse 6","North","Delhi",1016,476,26,514,487,10128,13,"59.99","30834.86",77,"2024-12-07","INV977825","35567.3","Available","null","Rack-98","2024-10-22","Stock level: 1016 units, Supplier rating: 3.79"
"INV00000026","2024-12-19",2024,4,"PART000027","Part 27","PC636416","Component","Essential component Part 27","SUP0027","Supplier 27","Bangalore","India","4.53","WH07","Warehouse 7","South","Bangalore",46876,21644,317,24915,3542,3661,57,"695.39","17325641.85",82,"2024-05-20","INV704071","94207.46","Low Stock","null","Rack-37","2024-11-26","Stock level: 46876 units, Supplier rating: 4.53"
"INV00000027","2024-07-08",2024,12,"PART000028","Part 28","PC199816","Subassembly","Essential component Part 28","SUP0028","Supplier 28","Pune","India","3.65","WH08","Warehouse 8","East","Pune",18369,15314,358,2697,2858,19317,30,"163.61","441256.17",60,"2024-02-26","INV513849","44444.63","Out of Stock","null","Rack-100","2024-08-04","Stock level: 18369 units, Supplier rating: 3.65"
"INV00000028","2024-04-08",2024,12,"PART000029","Part 29","PC947650","Tool","Essential component Part 29","SUP0029","Supplier 29","Hyderabad","India","2.4","WH09","Warehouse 9","West","Hyderabad",33964,6922,301,26741,3622,3279,60,"791.26","21159083.66",52,"2024-01-18","INV649042","47030.08","Discontinued","null","Rack-28","2024-06-07","Stock level: 33964 units, Supplier rating: 2.4"
"INV00000029","2024-07-24",2024,4,"PART000030","Part 30","PC360693","Packaging","Essential component Part 30","SUP0030","Supplier 30","Chennai","India","3.33","WH10","Warehouse 10","Central","Chennai",20207,8224,264,11719,2382,941,43,"314.38","3684219.22",80,"2024-04-03","INV382884","84768.76","On Order","null","Rack-10","2024-05-04","Stock level: 20207 units, Supplier rating: 3.33"
"INV00000030","2024-02-06",2024,8,"PART000031","Part 31","PC323902","Raw Material","Essential component Part 31","SUP0031","Supplier 31","Kolkata","India","2.02","WH01","Warehouse 1","North","Kolkata",32735,14711,352,17672,2675,7483,30,"358.25","6330994",77,"2024-09-08","INV113552","43134.57","Available","null","Rack-18","2024-07-26","Stock level: 32735 units, Supplier rating: 2.02"
"INV00000031","2024-09-28",2024,7,"PART000032","Part 32","PC735779","Component","Essential component Part 32","SUP0032","Supplier 32","Jaipur","India","4.82","WH02","Warehouse 2","South","Jaipur",30141,16869,255,13017,1119,4232,26,"225.81","2939368.77",60,"2024-11-03","INV915425","99538.75","Low Stock","2025-06-25","Rack-21","2024-06-07","Stock level: 30141 units, Supplier rating: 4.82"
"INV00000032","2024-11-25",2024,5,"PART000033","Part 33","PC678131","Subassembly","Essential component Part 33","SUP0033","Supplier 33","Mumbai","India","5","WH03","Warehouse 3","East","Mumbai",23045,7086,252,15707,1519,12488,14,"190.28","2988727.96",22,"2024-02-02","INV145903","37613.51","Out of Stock","2025-08-20","Rack-46","2024-10-28","Stock level: 23045 units, Supplier rating: 5.0"
"INV00000033","2024-06-27",2024,8,"PART000034","Part 34","PC280871","Tool","Essential component Part 34","SUP0034","Supplier 34","Delhi","India","4.21","WH04","Warehouse 4","West","Delhi",39113,16885,206,22022,4005,2068,12,"954.08","21010749.76",83,"2024-07-12","INV962221","64375.96","Discontinued","null","Rack-4","2024-07-28","Stock level: 39113 units, Supplier rating: 4.21"
"INV00000034","2024-12-06",2024,12,"PART000035","Part 35","PC196262","Packaging","Essential component Part 35","SUP0035","Supplier 35","Bangalore","India","4.99","WH05","Warehouse 5","Central","Bangalore",21158,16,333,20809,3358,13080,52,"620","12901580",34,"2024-09-10","INV680527","60205.16","On Order","2025-07-21","Rack-10","2024-09-08","Stock level: 21158 units, Supplier rating: 4.99"
"INV00000035","2024-02-22",2024,4,"PART000036","Part 36","PC159516","Raw Material","Essential component Part 36","SUP0036","Supplier 36","Pune","India","2.34","WH06","Warehouse 6","North","Pune",47142,38708,120,8314,4673,765,46,"471.01","3915977.14",10,"2024-03-22","INV328533","78165.51","Available","2025-01-17","Rack-33","2024-09-24","Stock level: 47142 units, Supplier rating: 2.34"
"INV00000036","2024-03-09",2024,2,"PART000037","Part 37","PC157290","Component","Essential component Part 37","SUP0037","Supplier 37","Hyderabad","India","4.78","WH07","Warehouse 7","South","Hyderabad",7474,2525,384,4565,4724,14197,38,"345.2","1575838",64,"2024-07-26","INV840000","84457.94","Low Stock","null","Rack-46","2024-01-16","Stock level: 7474 units, Supplier rating: 4.78"
"INV00000037","2024-12-11",2024,4,"PART000038","Part 38","PC248297","Subassembly","Essential component Part 38","SUP0038","Supplier 38","Chennai","India","4.4","WH08","Warehouse 8","East","Chennai",17162,2224,375,14563,139,7197,37,"860.55","12532189.65",79,"2024-11-13","INV314478","55590.47","Out of Stock","null","Rack-41","2024-01-22","Stock level: 17162 units, Supplier rating: 4.4"
"INV00000038","2024-03-01",2024,6,"PART000039","Part 39","PC713457","Tool","Essential component Part 39","SUP0039","Supplier 39","Kolkata","India","2.85","WH09","Warehouse 9","West","Kolkata",16344,861,39,15444,3003,9236,16,"919.37","14198750.28",65,"2024-12-14","INV876062","91949.23","Discontinued","2025-10-05","Rack-86","2024-08-02","Stock level: 16344 units, Supplier rating: 2.85"
"INV00000039","2024-11-13",2024,9,"PART000040","Part 40","PC801485","Packaging","Essential component Part 40","SUP0040","Supplier 40","Jaipur","India","3.53","WH10","Warehouse 10","Central","Jaipur",27635,23757,162,3716,2666,3325,25,"171.7","638037.2",8,"2024-09-21","INV448727","91892.77","On Order","2025-12-14","Rack-75","2024-02-02","Stock level: 27635 units, Supplier rating: 3.53"
"INV00000040","2024-12-10",2024,2,"PART000041","Part 41","PC637437","Raw Material","Essential component Part 41","SUP0041","Supplier 41","Mumbai","India","3.39","WH01","Warehouse 1","North","Mumbai",16012,10610,223,5179,3234,12066,30,"178.31","923467.49",12,"2024-07-22","INV664060","28442.05","Available","null","Rack-43","2024-11-01","Stock level: 16012 units, Supplier rating: 3.39"
"INV00000041","2024-02-15",2024,9,"PART000042","Part 42","PC914998","Component","Essential component Part 42","SUP0042","Supplier 42","Delhi","India","4.06","WH02","Warehouse 2","South","Delhi",36484,24134,32,12318,1752,19690,26,"183.52","2260599.36",37,"2024-04-17","INV720400","75271.62","Low Stock","2025-07-06","Rack-1","2024-01-26","Stock level: 36484 units, Supplier rating: 4.06"
"INV00000042","2024-04-25",2024,12,"PART000043","Part 43","PC734625","Subassembly","Essential component Part 43","SUP0043","Supplier 43","Bangalore","India","3.05","WH03","Warehouse 3","East","Bangalore",5619,2466,271,2882,4827,9511,51,"510.9","1472413.8",11,"2024-04-04","INV335384","68141.49","Out of Stock","null","Rack-93","2024-05-07","Stock level: 5619 units, Supplier rating: 3.05"
"INV00000043","2024-05-12",2024,7,"PART000044","Part 44","PC476576","Tool","Essential component Part 44","SUP0044","Supplier 44","Pune","India","4.31","WH04","Warehouse 4","West","Pune",15957,6357,309,9291,2552,19760,41,"814.52","7567705.32",62,"2024-02-26","INV472926","19329.29","Discontinued","2025-05-20","Rack-39","2024-05-05","Stock level: 15957 units, Supplier rating: 4.31"
"INV00000044","2024-03-24",2024,9,"PART000045","Part 45","PC615134","Packaging","Essential component Part 45","SUP0045","Supplier 45","Hyderabad","India","2.53","WH05","Warehouse 5","Central","Hyderabad",5412,2031,311,3070,3114,19427,10,"651.19","1999153.3",58,"2024-12-08","INV180880","36504.18","On Order","2025-07-08","Rack-31","2024-12-12","Stock level: 5412 units, Supplier rating: 2.53"
"INV00000045","2024-01-11",2024,8,"PART000046","Part 46","PC537833","Raw Material","Essential component Part 46","SUP0046","Supplier 46","Chennai","India","4.34","WH06","Warehouse 6","North","Chennai",44391,15196,458,28737,1179,16366,22,"413","11868381",73,"2024-08-06","INV978764","20156.91","Available","2025-08-28","Rack-98","2024-04-23","Stock level: 44391 units, Supplier rating: 4.34"
"INV00000046","2024-02-14",2024,10,"PART000047","Part 47","PC698807","Component","Essential component Part 47","SUP0047","Supplier 47","Kolkata","India","2.33","WH07","Warehouse 7","South","Kolkata",48237,11047,151,37039,3226,12106,37,"632.07","23411240.73",76,"2024-02-13","INV530587","19924.15","Low Stock","null","Rack-92","2024-10-28","Stock level: 48237 units, Supplier rating: 2.33"
"INV00000047","2024-08-19",2024,10,"PART000048","Part 48","PC908029","Subassembly","Essential component Part 48","SUP0048","Supplier 48","Jaipur","India","4.07","WH08","Warehouse 8","East","Jaipur",40187,569,145,39473,4291,5277,26,"798.64","31524716.72",72,"2024-03-23","INV234972","91875.81","Out of Stock","2025-04-16","Rack-86","2024-10-24","Stock level: 40187 units, Supplier rating: 4.07"
"INV00000048","2024-03-12",2024,9,"PART000049","Part 49","PC519376","Tool","Essential component Part 49","SUP0049","Supplier 49","Mumbai","India","4.25","WH09","Warehouse 9","West","Mumbai",8018,7428,65,525,1884,804,32,"319.96","167979",71,"2024-09-17","INV888786","30899.29","Discontinued","null","Rack-23","2024-01-04","Stock level: 8018 units, Supplier rating: 4.25"
"INV00000049","2024-02-28",2024,6,"PART000050","Part 50","PC392944","Packaging","Essential component Part 50","SUP0050","Supplier 50","Delhi","India","2.75","WH10","Warehouse 10","Central","Delhi",39730,36616,161,2953,3597,18229,20,"304","897712",48,"2024-08-28","INV345681","61205.06","On Order","null","Rack-90","2024-10-24","Stock level: 39730 units, Supplier rating: 2.75"
"INV00000050","2024-07-15",2024,9,"PART000051","Part 51","PC777614","Raw Material","Essential component Part 51","SUP0051","Supplier 51","Bangalore","India","2.09","WH01","Warehouse 1","North","Bangalore",23998,18184,213,5601,3212,12723,29,"184.67","1034336.67",35,"2024-02-24","INV351694","87918.52","Available","null","Rack-22","2024-02-26","Stock level: 23998 units, Supplier rating: 2.09"
"INV00000051","2024-12-05",2024,8,"PART000052","Part 52","PC370688","Component","Essential component Part 52","SUP0052","Supplier 52","Pune","India","3.7","WH02","Warehouse 2","South","Pune",20009,1472,440,18097,139,5158,23,"856.13","15493384.61",76,"2024-09-24","INV493870","49427.51","Low Stock","2025-01-28","Rack-15","2024-05-23","Stock level: 20009 units, Supplier rating: 3.7"
"INV00000052","2024-02-16",2024,7,"PART000053","Part 53","PC501220","Subassembly","Essential component Part 53","SUP0053","Supplier 53","Hyderabad","India","4.71","WH03","Warehouse 3","East","Hyderabad",14336,5489,247,8600,1443,5441,41,"850.86","7317396",45,"2024-08-28","INV626346","92793.26","Out of Stock","2025-05-17","Rack-64","2024-12-02","Stock level: 14336 units, Supplier rating: 4.71"
"INV00000053","2024-11-06",2024,10,"PART000054","Part 54","PC327442","Tool","Essential component Part 54","SUP0054","Supplier 54","Chennai","India","3.19","WH04","Warehouse 4","West","Chennai",28224,15448,400,12376,4437,10778,60,"396.63","4908692.88",77,"2024-07-25","INV742670","93535.08","Discontinued","null","Rack-98","2024-03-10","Stock level: 28224 units, Supplier rating: 3.19"
"INV00000054","2024-01-17",2024,1,"PART000055","Part 55","PC324304","Packaging","Essential component Part 55","SUP0055","Supplier 55","Kolkata","India","3.18","WH05","Warehouse 5","Central","Kolkata",49401,7933,229,41239,196,18225,42,"757.19","31225758.41",36,"2024-05-09","INV694789","22246.98","On Order","null","Rack-87","2024-03-07","Stock level: 49401 units, Supplier rating: 3.18"
"INV00000055","2024-02-03",2024,1,"PART000056","Part 56","PC134481","Raw Material","Essential component Part 56","SUP0056","Supplier 56","Jaipur","India","2.51","WH06","Warehouse 6","North","Jaipur",46068,38150,500,7418,3041,7829,26,"203.03","1506076.54",41,"2024-07-24","INV459062","51013.07","Available","null","Rack-3","2024-07-10","Stock level: 46068 units, Supplier rating: 2.51"
"INV00000056","2024-10-27",2024,1,"PART000057","Part 57","PC575886","Component","Essential component Part 57","SUP0057","Supplier 57","Mumbai","India","4.47","WH07","Warehouse 7","South","Mumbai",44903,44889,276,-262,4917,6731,35,"825.98","-216406.76",36,"2024-08-27","INV749143","52580.74","Low Stock","null","Rack-24","2024-08-03","Stock level: 44903 units, Supplier rating: 4.47"
"INV00000057","2024-02-13",2024,11,"PART000058","Part 58","PC727937","Subassembly","Essential component Part 58","SUP0058","Supplier 58","Delhi","India","2.94","WH08","Warehouse 8","East","Delhi",2541,1254,3,1284,3456,3931,14,"430.16","552325.44",89,"2024-08-11","INV539109","87964.88","Out of Stock","null","Rack-93","2024-02-21","Stock level: 2541 units, Supplier rating: 2.94"
"INV00000058","2024-02-08",2024,6,"PART000059","Part 59","PC641424","Tool","Essential component Part 59","SUP0059","Supplier 59","Bangalore","India","4.36","WH09","Warehouse 9","West","Bangalore",41606,21820,365,19421,3689,1578,54,"244.18","4742219.78",29,"2024-07-03","INV342157","61890.34","Discontinued","null","Rack-65","2024-11-28","Stock level: 41606 units, Supplier rating: 4.36"
"INV00000059","2024-06-22",2024,1,"PART000060","Part 60","PC527053","Packaging","Essential component Part 60","SUP0060","Supplier 60","Pune","India","2.2","WH10","Warehouse 10","Central","Pune",25754,24992,401,361,4031,6234,11,"220.6","79636.6",27,"2024-07-14","INV657379","89836.92","On Order","null","Rack-53","2024-08-06","Stock level: 25754 units, Supplier rating: 2.2"
"INV00000060","2024-10-02",2024,9,"PART000061","Part 61","PC537506","Raw Material","Essential component Part 61","SUP0001","Supplier 1","Hyderabad","India","2.07","WH01","Warehouse 1","North","Hyderabad",15926,11523,281,4122,2085,15789,60,"534.64","2203786.08",53,"2024-07-03","INV701543","13105.83","Available","null","Rack-38","2024-09-08","Stock level: 15926 units, Supplier rating: 2.07"
"INV00000061","2024-09-09",2024,3,"PART000062","Part 62","PC232210","Component","Essential component Part 62","SUP0002","Supplier 2","Chennai","India","2.65","WH02","Warehouse 2","South","Chennai",41291,11521,384,29386,5000,10739,41,"259.14","7615088.04",65,"2024-10-10","INV975294","5054.61","Low Stock","2025-04-01","Rack-85","2024-07-01","Stock level: 41291 units, Supplier rating: 2.65"
"INV00000062","2024-11-22",2024,3,"PART000063","Part 63","PC120121","Subassembly","Essential component Part 63","SUP0003","Supplier 3","Kolkata","India","4.64","WH03","Warehouse 3","East","Kolkata",24041,2050,118,21873,2313,17632,14,"67.26","1471177.98",36,"2024-10-08","INV198157","79502.77","Out of Stock","2025-02-06","Rack-39","2024-02-27","Stock level: 24041 units, Supplier rating: 4.64"
"INV00000063","2024-05-06",2024,3,"PART000064","Part 64","PC393891","Tool","Essential component Part 64","SUP0004","Supplier 4","Jaipur","India","3.52","WH04","Warehouse 4","West","Jaipur",16384,14379,409,1596,1751,2369,8,"618.28","986774.88",88,"2024-05-27","INV837176","3093.58","Discontinued","null","Rack-58","2024-01-15","Stock level: 16384 units, Supplier rating: 3.52"
"INV00000064","2024-11-02",2024,8,"PART000065","Part 65","PC439548","Packaging","Essential component Part 65","SUP0005","Supplier 5","Mumbai","India","2.31","WH05","Warehouse 5","Central","Mumbai",36279,2504,116,33659,1186,15690,29,"860.04","28948086.36",25,"2024-02-24","INV733430","79756.67","On Order","2025-06-14","Rack-1","2024-07-26","Stock level: 36279 units, Supplier rating: 2.31"
"INV00000065","2024-05-07",2024,9,"PART000066","Part 66","PC886505","Raw Material","Essential component Part 66","SUP0006","Supplier 6","Delhi","India","4.95","WH06","Warehouse 6","North","Delhi",12179,873,332,10974,1908,7040,23,"113.29","1243244.46",31,"2024-07-07","INV958642","66196.83","Available","null","Rack-85","2024-05-10","Stock level: 12179 units, Supplier rating: 4.95"
"INV00000066","2024-01-05",2024,4,"PART000067","Part 67","PC663736","Component","Essential component Part 67","SUP0007","Supplier 7","Bangalore","India","2.15","WH07","Warehouse 7","South","Bangalore",23530,15701,38,7791,2970,11111,5,"854.83","6659980.53",22,"2024-09-21","INV557674","42638.33","Low Stock","null","Rack-27","2024-01-11","Stock level: 23530 units, Supplier rating: 2.15"
"INV00000067","2024-08-13",2024,4,"PART000068","Part 68","PC629453","Subassembly","Essential component Part 68","SUP0008","Supplier 8","Pune","India","2.37","WH08","Warehouse 8","East","Pune",39247,38526,30,691,3586,16598,17,"318.47","220062.77",86,"2024-03-15","INV561396","93974.67","Out of Stock","null","Rack-94","2024-06-08","Stock level: 39247 units, Supplier rating: 2.37"
"INV00000068","2024-12-22",2024,7,"PART000069","Part 69","PC134920","Tool","Essential component Part 69","SUP0009","Supplier 9","Hyderabad","India","4.67","WH09","Warehouse 9","West","Hyderabad",33893,3402,500,29991,226,16911,56,"409.14","12270517.74",43,"2024-02-19","INV652654","75757.79","Discontinued","2025-05-07","Rack-78","2024-04-14","Stock level: 33893 units, Supplier rating: 4.67"
"INV00000069","2024-11-24",2024,4,"PART000070","Part 70","PC103211","Packaging","Essential component Part 70","SUP0010","Supplier 10","Chennai","India","4.87","WH10","Warehouse 10","Central","Chennai",7962,2296,248,5418,1549,8345,36,"399.89","2166604.02",26,"2024-06-06","INV654666","22798.76","On Order","null","Rack-34","2024-06-27","Stock level: 7962 units, Supplier rating: 4.87"
"INV00000070","2024-03-21",2024,5,"PART000071","Part 71","PC882921","Raw Material","Essential component Part 71","SUP0011","Supplier 11","Kolkata","India","2.97","WH01","Warehouse 1","North","Kolkata",27790,25779,300,1711,2911,5411,59,"503.11","860821.21",71,"2024-12-19","INV284744","73380.54","Available","null","Rack-62","2024-11-09","Stock level: 27790 units, Supplier rating: 2.97"
"INV00000071","2024-06-09",2024,1,"PART000072","Part 72","PC703017","Component","Essential component Part 72","SUP0012","Supplier 12","Jaipur","India","2.51","WH02","Warehouse 2","South","Jaipur",11594,592,358,10644,1933,14859,52,"694.29","7390022.76",73,"2024-06-03","INV752781","39436.98","Low Stock","2025-03-23","Rack-82","2024-10-05","Stock level: 11594 units, Supplier rating: 2.51"
