"log_id","log_date","log_time","year","month","machine_id","machine_name","machine_model","machine_type","manufacturer","factory_id","factory_name","assembly_line_id","assembly_line_name","temperature","humidity","pressure","vibration","rpm","power","status","health_score","maintenance_alert","efficiency","uptime","downtime","idletime","production_count","errorcode","error_code","last_maintenance_date","next_maintenance_date"
"LOG00000050","2024-07-20","17:22:30",2024,7,"MACH00051","Machine 51","MODEL-9342","Conveyor","Fanuc","FAC03","Factory 3","LINE021","Assembly Line 21","60.9","61.8","5.01","44.87",2294,"25.04","Running","56.09","Yes","65.98",11,11,24,2515,"E003","Error condition E003","2024-05-04","2024-09-26"
"LOG00000051","2024-08-07","13:33:20",2024,2,"MACH00052","Machine 52","MODEL-1139","Robot Arm","KUKA","FAC04","Factory 4","LINE022","Assembly Line 22","76.6","68.4","3.32","41.63",5548,"37.8","Idle","70.08","No","68.09",11,2,4,7703,"E004","Error condition E004","2024-06-01","2024-04-28"
"LOG00000052","2024-04-08","22:10:05",2024,11,"MACH00053","Machine 53","MODEL-3962","Welder","Bosch","FAC05","Factory 5","LINE023","Assembly Line 23","45.7","43.2","7.84","20.18",6009,"14.32","Maintenance","83.85","No","79.46",21,23,10,1042,"E005","Error condition E005","2024-07-11","2024-08-24"
"LOG00000053","2024-12-20","12:43:12",2024,6,"MACH00054","Machine 54","MODEL-4700","Drill","Mitsubishi","FAC06","Factory 6","LINE024","Assembly Line 24","35.8","34.4","4.48","3.73",8330,"7.94","Error","88.86","No","91.73",19,22,6,6202,"None","No errors","2024-02-26","2024-02-19"
"LOG00000054","2024-06-21","05:53:37",2024,5,"MACH00055","Machine 55","MODEL-9071","Lathe","Yaskawa","FAC07","Factory 7","LINE025","Assembly Line 25","30.4","34.9","6.95","5.13",1740,"32.43","Stopped","80.43","No","61.75",17,23,6,7361,"E001","Error condition E001","2024-07-02","2024-10-14"
"LOG00000055","2024-11-07","03:44:15",2024,10,"MACH00056","Machine 56","MODEL-1844","Compressor","Omron","FAC08","Factory 8","LINE026","Assembly Line 26","35.5","62.2","0.69","26",437,"18.07","Running","99.58","No","94.9",12,7,9,6718,"E002","Error condition E002","2024-04-20","2024-01-06"
"LOG00000056","2024-01-16","17:22:35",2024,6,"MACH00057","Machine 57","MODEL-5398","CNC Machine","Siemens","FAC01","Factory 1","LINE027","Assembly Line 27","42.5","77.5","8.49","14.37",5471,"1.66","Idle","85.91","No","97.12",1,14,8,3278,"E003","Error condition E003","2024-01-12","2024-09-12"
"LOG00000057","2024-05-25","05:07:51",2024,5,"MACH00058","Machine 58","MODEL-1007","Hydraulic Press","ABB","FAC02","Factory 2","LINE028","Assembly Line 28","20.3","41.6","6.74","5.93",2585,"35.28","Maintenance","60.67","Yes","62.26",9,23,16,4898,"E004","Error condition E004","2024-09-01","2024-12-09"
"LOG00000058","2024-06-17","22:48:24",2024,1,"MACH00059","Machine 59","MODEL-6073","Conveyor","Fanuc","FAC03","Factory 3","LINE029","Assembly Line 29","29.5","33.3","7.08","31.81",1960,"16.81","Error","81.22","No","92.87",7,19,4,2082,"E005","Error condition E005","2024-11-06","2024-08-26"
"LOG00000059","2024-02-15","11:40:45",2024,5,"MACH00060","Machine 60","MODEL-5611","Robot Arm","KUKA","FAC04","Factory 4","LINE030","Assembly Line 30","62.8","43.5","3.9","48.4",7803,"40.09","Stopped","86.4","No","73.68",7,12,4,5373,"None","No errors","2024-01-23","2024-01-10"
"LOG00000060","2024-01-13","03:08:01",2024,7,"MACH00061","Machine 61","MODEL-9960","Welder","Bosch","FAC05","Factory 5","LINE001","Assembly Line 1","64.7","71.8","6.43","37.14",1243,"27.23","Running","67.03","Yes","97.22",19,0,22,1664,"E001","Error condition E001","2024-06-27","2024-01-18"
"LOG00000061","2024-12-01","09:33:01",2024,6,"MACH00062","Machine 62","MODEL-7032","Drill","Mitsubishi","FAC06","Factory 6","LINE002","Assembly Line 2","25.6","58","1.81","48.23",3831,"13.54","Idle","50.1","Yes","84.82",22,4,11,7212,"E002","Error condition E002","2024-11-27","2024-12-23"
"LOG00000062","2024-05-05","15:06:07",2024,6,"MACH00063","Machine 63","MODEL-2102","Lathe","Yaskawa","FAC07","Factory 7","LINE003","Assembly Line 3","48.2","35.4","6.32","7.75",4741,"18.43","Maintenance","94.58","No","73.42",3,14,13,9863,"E003","Error condition E003","2024-08-03","2024-02-21"
"LOG00000063","2024-02-04","19:18:01",2024,6,"MACH00064","Machine 64","MODEL-6030","Compressor","Omron","FAC08","Factory 8","LINE004","Assembly Line 4","45.3","67.4","9.28","9.58",1750,"44.89","Error","53.65","Yes","64.84",24,18,22,3642,"E004","Error condition E004","2024-03-05","2024-08-12"
"LOG00000064","2024-07-28","16:03:22",2024,1,"MACH00065","Machine 65","MODEL-5784","CNC Machine","Siemens","FAC01","Factory 1","LINE005","Assembly Line 5","68.7","67.4","8.36","46.92",776,"20.23","Stopped","71.3","No","61.22",14,22,5,6042,"E005","Error condition E005","2024-12-02","2024-09-25"
"LOG00000065","2024-03-21","06:31:36",2024,12,"MACH00066","Machine 66","MODEL-4877","Hydraulic Press","ABB","FAC02","Factory 2","LINE006","Assembly Line 6","33.6","68","2.65","3.07",5592,"5.41","Running","66.47","Yes","86.49",8,24,8,5134,"None","No errors","2024-09-01","2024-05-08"
"LOG00000066","2024-07-28","15:23:59",2024,2,"MACH00067","Machine 67","MODEL-9422","Conveyor","Fanuc","FAC03","Factory 3","LINE007","Assembly Line 7","66.1","36.7","1.93","47.49",7525,"22.8","Idle","94.56","No","88.1",20,24,20,4212,"E001","Error condition E001","2024-05-14","2024-01-12"
"LOG00000067","2024-09-19","02:01:39",2024,3,"MACH00068","Machine 68","MODEL-4379","Robot Arm","KUKA","FAC04","Factory 4","LINE008","Assembly Line 8","64.6","62.8","7.32","49.79",6686,"13.02","Maintenance","66.48","Yes","70.84",2,5,12,8038,"E002","Error condition E002","2024-11-14","2024-02-22"
"LOG00000068","2024-04-27","01:32:58",2024,5,"MACH00069","Machine 69","MODEL-7330","Welder","Bosch","FAC05","Factory 5","LINE009","Assembly Line 9","35.3","33.2","3.08","34.35",3360,"8.11","Error","51.46","Yes","62.7",24,11,3,5457,"E003","Error condition E003","2024-12-20","2024-08-10"
"LOG00000069","2024-04-07","12:38:21",2024,4,"MACH00070","Machine 70","MODEL-3900","Drill","Mitsubishi","FAC06","Factory 6","LINE010","Assembly Line 10","67.9","69.1","6.54","17.35",9837,"49.11","Stopped","62.15","Yes","77.01",5,22,7,3416,"E004","Error condition E004","2024-07-03","2024-05-22"
"LOG00000070","2024-08-06","12:21:06",2024,10,"MACH00071","Machine 71","MODEL-2778","Lathe","Yaskawa","FAC07","Factory 7","LINE011","Assembly Line 11","74","41.2","7.96","16.57",9370,"19.36","Running","88.69","No","92.06",4,21,8,4808,"E005","Error condition E005","2024-07-08","2024-07-21"
"LOG00000071","2024-10-12","02:42:53",2024,12,"MACH00072","Machine 72","MODEL-2405","Compressor","Omron","FAC08","Factory 8","LINE012","Assembly Line 12","46.3","47.7","1.77","11.33",3541,"5.83","Idle","68.07","Yes","74.06",18,17,6,9882,"None","No errors","2024-10-03","2024-01-16"
"LOG00000072","2024-12-18","02:08:43",2024,10,"MACH00073","Machine 73","MODEL-8005","CNC Machine","Siemens","FAC01","Factory 1","LINE013","Assembly Line 13","23.4","54.4","8.16","19.09",4731,"6.8","Maintenance","57.78","Yes","60.9",2,5,13,8494,"E001","Error condition E001","2024-11-24","2024-01-20"
"LOG00000073","2024-12-20","20:08:17",2024,3,"MACH00074","Machine 74","MODEL-4266","Hydraulic Press","ABB","FAC02","Factory 2","LINE014","Assembly Line 14","47.7","64.4","6.32","4.1",4876,"48.92","Error","56.92","Yes","89.05",3,22,14,9519,"E002","Error condition E002","2024-06-24","2024-02-19"
"LOG00000074","2024-07-02","08:24:58",2024,8,"MACH00075","Machine 75","MODEL-8247","Conveyor","Fanuc","FAC03","Factory 3","LINE015","Assembly Line 15","22.8","36.7","5.69","20.91",5625,"40.85","Stopped","78.9","No","73.23",21,1,23,617,"E003","Error condition E003","2024-10-17","2024-07-05"
"LOG00000075","2024-10-15","02:40:43",2024,2,"MACH00076","Machine 76","MODEL-7542","Robot Arm","KUKA","FAC04","Factory 4","LINE016","Assembly Line 16","27.6","65.7","8.84","17.89",6452,"44.91","Running","86.46","No","72.67",9,13,12,1590,"E004","Error condition E004","2024-05-09","2024-01-19"
"LOG00000076","2024-07-18","00:12:32",2024,11,"MACH00077","Machine 77","MODEL-8832","Welder","Bosch","FAC05","Factory 5","LINE017","Assembly Line 17","36.4","39.6","1.78","25.01",4957,"30.77","Idle","68.72","Yes","80.07",9,17,1,260,"E005","Error condition E005","2024-07-19","2024-12-23"
"LOG00000077","2024-07-15","19:15:20",2024,11,"MACH00078","Machine 78","MODEL-9799","Drill","Mitsubishi","FAC06","Factory 6","LINE018","Assembly Line 18","61.5","47.8","8.3","38.17",8889,"3.48","Maintenance","99.93","No","66.8",4,11,11,6061,"None","No errors","2024-06-23","2024-06-15"
"LOG00000078","2024-02-02","16:55:07",2024,12,"MACH00079","Machine 79","MODEL-5581","Lathe","Yaskawa","FAC07","Factory 7","LINE019","Assembly Line 19","62.1","49.9","8.6","37.41",6891,"33.88","Error","98.26","No","86",18,22,20,3450,"E001","Error condition E001","2024-05-24","2024-07-17"
"LOG00000079","2024-11-01","22:05:50",2024,7,"MACH00080","Machine 80","MODEL-8703","Compressor","Omron","FAC08","Factory 8","LINE020","Assembly Line 20","35.6","70.1","4.97","39.03",8501,"35.96","Stopped","90.64","No","78.88",5,3,2,8097,"E002","Error condition E002","2024-11-21","2024-12-18"
"LOG00000080","2024-12-20","03:33:38",2024,11,"MACH00081","Machine 81","MODEL-5749","CNC Machine","Siemens","FAC01","Factory 1","LINE021","Assembly Line 21","39.8","58.9","8.73","29.27",5355,"42.76","Running","60.67","Yes","87.1",8,9,1,6767,"E003","Error condition E003","2024-07-02","2024-07-12"
"LOG00000081","2024-02-16","12:25:26",2024,5,"MACH00082","Machine 82","MODEL-4834","Hydraulic Press","ABB","FAC02","Factory 2","LINE022","Assembly Line 22","61","34.7","9.77","17.91",8109,"16.66","Idle","77.7","No","97.47",3,20,17,5081,"E004","Error condition E004","2024-03-09","2024-08-15"
"LOG00000082","2024-04-10","11:45:19",2024,7,"MACH00083","Machine 83","MODEL-1192","Conveyor","Fanuc","FAC03","Factory 3","LINE023","Assembly Line 23","53.4","33.4","9.67","25.56",305,"34.65","Maintenance","75.48","No","81.56",21,19,15,2331,"E005","Error condition E005","2024-12-14","2024-01-13"
"LOG00000083","2024-02-05","13:02:53",2024,6,"MACH00084","Machine 84","MODEL-9787","Robot Arm","KUKA","FAC04","Factory 4","LINE024","Assembly Line 24","72.6","78.5","2.31","49.41",1563,"1.47","Error","71.28","No","73.8",22,11,14,3290,"None","No errors","2024-12-25","2024-12-05"
"LOG00000084","2024-07-25","23:52:53",2024,10,"MACH00085","Machine 85","MODEL-6631","Welder","Bosch","FAC05","Factory 5","LINE025","Assembly Line 25","35.6","31.8","9.82","41.71",5478,"47.64","Stopped","89.15","No","86.27",20,20,22,4508,"E001","Error condition E001","2024-03-26","2024-11-02"
"LOG00000085","2024-09-21","03:30:28",2024,7,"MACH00086","Machine 86","MODEL-8251","Drill","Mitsubishi","FAC06","Factory 6","LINE026","Assembly Line 26","26.3","38.6","3.64","13.59",2842,"11.93","Running","54.37","Yes","79.08",12,4,12,2421,"E002","Error condition E002","2024-09-13","2024-12-23"
"LOG00000086","2024-04-09","13:50:15",2024,11,"MACH00087","Machine 87","MODEL-1981","Lathe","Yaskawa","FAC07","Factory 7","LINE027","Assembly Line 27","34.2","51","7.73","11.3",8998,"37.25","Idle","97.53","No","93.01",5,14,8,9776,"E003","Error condition E003","2024-09-20","2024-06-07"
