"inspection_id","inspection_date","inspection_time","year","month","order_id","product_id","product_name","batch_number","inspector_id","inspector_name","inspectordepartment","department","factory_id","factory_name","assembly_line_id","assembly_line_name","quantity_inspected","quantity_defective","defect_rate","sample_size","defect_type","defect_code","defect_severity","defect_description","dimension1","dimension2","weight","visual_quality","functional_test","inspection_status","inspection_result","rework_required","approved","approvedby","notes","photopath"
"INSP00000012","2024-04-21","10:53",2024,11,"ORD00000420","PROD000013","Product 13","BATCH00012","INS0013","Inspector 13","Quality Control","QC Department","FAC05","Factory 5","LINE013","Assembly Line 13",2919,62,"2.12",1607,"Missing Part","D005","Minor","Missing Part found in batch","81.55","67.43","2.95","Fair","Pass","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 2.12% defect rate","photo_INSP00000012.jpg"
"INSP00000013","2024-11-11","13:59",2024,10,"ORD00000948","PROD000014","Product 14","BATCH00013","INS0014","Inspector 14","Quality Control","QC Department","FAC06","Factory 6","LINE014","Assembly Line 14",9057,76,"0.84",512,"Malfunction","D006","Cosmetic","Malfunction found in batch","26.94","37.07","12.33","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.84% defect rate","null"
"INSP00000014","2024-10-05","17:38",2024,4,"ORD00000736","PROD000015","Product 15","BATCH00014","INS0015","Inspector 15","Quality Control","QC Department","FAC07","Factory 7","LINE015","Assembly Line 15",6232,31,"0.5",3698,"Dimension Error","D007","None","Dimension Error found in batch","24.12","72.12","6.68","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.5% defect rate","photo_INSP00000014.jpg"
"INSP00000015","2024-07-15","11:31",2024,4,"ORD00000399","PROD000016","Product 16","BATCH00015","INS0016","Inspector 16","Quality Control","QC Department","FAC08","Factory 8","LINE016","Assembly Line 16",5116,35,"0.68",122,"None","D000","Critical","None found in batch","85.29","67.37","46.15","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.68% defect rate","null"
"INSP00000016","2024-06-27","08:48",2024,3,"ORD00000181","PROD000017","Product 17","BATCH00016","INS0017","Inspector 17","Quality Control","QC Department","FAC01","Factory 1","LINE017","Assembly Line 17",2894,55,"1.9",2678,"Crack","D001","Major","Crack found in batch","78.48","56.09","33.43","Fair","Pass","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 1.9% defect rate","photo_INSP00000016.jpg"
"INSP00000017","2024-12-24","12:43",2024,10,"ORD00000290","PROD000018","Product 18","BATCH00017","INS0018","Inspector 18","Quality Control","QC Department","FAC02","Factory 2","LINE018","Assembly Line 18",3070,84,"2.74",1180,"Dent","D002","Minor","Dent found in batch","43.24","42.77","14.28","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 2.74% defect rate","null"
"INSP00000018","2024-01-07","14:34",2024,9,"ORD00000539","PROD000019","Product 19","BATCH00018","INS0019","Inspector 19","Quality Control","QC Department","FAC03","Factory 3","LINE019","Assembly Line 19",5762,90,"1.56",5400,"Discoloration","D003","Cosmetic","Discoloration found in batch","20.17","87.16","39.55","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.56% defect rate","null"
"INSP00000019","2024-06-14","10:20",2024,11,"ORD00000055","PROD000020","Product 20","BATCH00019","INS0020","Inspector 20","Quality Control","QC Department","FAC04","Factory 4","LINE020","Assembly Line 20",7101,7,"0.1",620,"Misalignment","D004","None","Misalignment found in batch","32.19","82.47","48.19","Poor","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.1% defect rate","photo_INSP00000019.jpg"
"INSP00000020","2024-09-17","17:33",2024,1,"ORD00000348","PROD000021","Product 21","BATCH00020","INS0021","Inspector 21","Quality Control","QC Department","FAC05","Factory 5","LINE021","Assembly Line 21",1302,42,"3.23",1280,"Missing Part","D005","Critical","Missing Part found in batch","86.54","59.71","20.92","Poor","Fail","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 3.23% defect rate","photo_INSP00000020.jpg"
"INSP00000021","2024-03-08","10:23",2024,10,"ORD00000057","PROD000022","Product 22","BATCH00021","INS0022","Inspector 22","Quality Control","QC Department","FAC06","Factory 6","LINE022","Assembly Line 22",6383,98,"1.54",2440,"Malfunction","D006","Major","Malfunction found in batch","53.11","45.32","22.22","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 1.54% defect rate","photo_INSP00000021.jpg"
"INSP00000022","2024-01-08","12:30",2024,6,"ORD00000841","PROD000023","Product 23","BATCH00022","INS0023","Inspector 23","Quality Control","QC Department","FAC07","Factory 7","LINE023","Assembly Line 23",9827,90,"0.92",1687,"Dimension Error","D007","Minor","Dimension Error found in batch","51.57","67.2","29.45","Poor","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.92% defect rate","null"
"INSP00000023","2024-07-08","10:29",2024,5,"ORD00000400","PROD000024","Product 24","BATCH00023","INS0024","Inspector 24","Quality Control","QC Department","FAC08","Factory 8","LINE024","Assembly Line 24",3739,53,"1.42",484,"None","D000","Cosmetic","None found in batch","70.4","82.66","45.87","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.42% defect rate","photo_INSP00000023.jpg"
"INSP00000024","2024-10-06","13:57",2024,4,"ORD00000141","PROD000025","Product 25","BATCH00024","INS0025","Inspector 25","Quality Control","QC Department","FAC01","Factory 1","LINE025","Assembly Line 25",3883,85,"2.19",598,"Crack","D001","None","Crack found in batch","45.66","49.45","14.84","Fair","Pass","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 2.19% defect rate","null"
"INSP00000025","2024-01-21","16:15",2024,2,"ORD00000883","PROD000026","Product 26","BATCH00025","INS0026","Inspector 26","Quality Control","QC Department","FAC02","Factory 2","LINE026","Assembly Line 26",4008,45,"1.12",3459,"Dent","D002","Critical","Dent found in batch","33.1","54.97","33.12","Fair","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 1.12% defect rate","photo_INSP00000025.jpg"
"INSP00000026","2024-12-18","16:11",2024,2,"ORD00000241","PROD000027","Product 27","BATCH00026","INS0027","Inspector 27","Quality Control","QC Department","FAC03","Factory 3","LINE027","Assembly Line 27",2940,16,"0.54",825,"Discoloration","D003","Major","Discoloration found in batch","36.01","56.25","42.01","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.54% defect rate","null"
"INSP00000027","2024-01-12","08:40",2024,11,"ORD00000109","PROD000028","Product 28","BATCH00027","INS0028","Inspector 28","Quality Control","QC Department","FAC04","Factory 4","LINE028","Assembly Line 28",767,26,"3.39",189,"Misalignment","D004","Minor","Misalignment found in batch","62.37","21.85","9.27","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 3.39% defect rate","null"
"INSP00000028","2024-12-17","13:00",2024,1,"ORD00000998","PROD000029","Product 29","BATCH00028","INS0029","Inspector 29","Quality Control","QC Department","FAC05","Factory 5","LINE029","Assembly Line 29",6973,61,"0.87",1755,"Missing Part","D005","Cosmetic","Missing Part found in batch","94.8","38.85","46.2","Good","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 0.87% defect rate","photo_INSP00000028.jpg"
"INSP00000029","2024-09-12","09:29",2024,1,"ORD00000176","PROD000030","Product 30","BATCH00029","INS0030","Inspector 30","Quality Control","QC Department","FAC06","Factory 6","LINE030","Assembly Line 30",5035,99,"1.97",816,"Malfunction","D006","None","Malfunction found in batch","27.8","74.43","2.19","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 1.97% defect rate","photo_INSP00000029.jpg"
"INSP00000030","2024-07-12","10:49",2024,12,"ORD00000407","PROD000031","Product 31","BATCH00030","INS0031","Inspector 31","Quality Control","QC Department","FAC07","Factory 7","LINE001","Assembly Line 1",3698,27,"0.73",1309,"Dimension Error","D007","Critical","Dimension Error found in batch","59.2","80.51","22.69","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.73% defect rate","photo_INSP00000030.jpg"
"INSP00000031","2024-11-07","FIFTEEN:fourtyNine",2024,4,"ORD00000507","PROD000032","Product 32","BATCH00031","INS0032","Inspector 32","Quality Control","QC Department","FAC08","Factory 8","LINE002","Assembly Line 2",143,14,"9.79",100,"None","D000","Major","None found in batch","68.39","80.61","3.92","Fair","Fail","On Hold","Pending","No","No","null","Inspection completed - 9.79% defect rate","null"
"INSP00000032","2024-12-09","13:16",2024,5,"ORD00000264","PROD000033","Product 33","BATCH00032","INS0033","Inspector 33","Quality Control","QC Department","FAC01","Factory 1","LINE003","Assembly Line 3",6375,8,"0.13",4391,"Crack","D001","Minor","Crack found in batch","10.61","15.49","12.25","Good","Pass","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 0.13% defect rate","null"
"INSP00000033","2024-02-28","17:52",2024,6,"ORD00000519","PROD000034","Product 34","BATCH00033","INS0034","Inspector 34","Quality Control","QC Department","FAC02","Factory 2","LINE004","Assembly Line 4",8646,36,"0.42",3466,"Dent","D002","Cosmetic","Dent found in batch","85.19","36.34","11.13","Good","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.42% defect rate","null"
"INSP00000034","2024-05-11","11:08",2024,12,"ORD00000880","PROD000035","Product 35","BATCH00034","INS0035","Inspector 35","Quality Control","QC Department","FAC03","Factory 3","LINE005","Assembly Line 5",6043,71,"1.17",2078,"Discoloration","D003","None","Discoloration found in batch","73.44","79.24","26.95","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 1.17% defect rate","photo_INSP00000034.jpg"
"INSP00000035","2024-01-15","15:25",2024,5,"ORD00000681","PROD000036","Product 36","BATCH00035","INS0036","Inspector 36","Quality Control","QC Department","FAC04","Factory 4","LINE006","Assembly Line 6",4981,4,"0.08",4769,"Misalignment","D004","Critical","Misalignment found in batch","31.99","48.14","9.5","Fair","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.08% defect rate","null"
"INSP00000036","2024-07-05","12:55",2024,12,"ORD00000154","PROD000037","Product 37","BATCH00036","INS0037","Inspector 37","Quality Control","QC Department","FAC05","Factory 5","LINE007","Assembly Line 7",3453,44,"1.27",3324,"Missing Part","D005","Major","Missing Part found in batch","45.32","76.4","47.56","Fair","Pass","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 1.27% defect rate","photo_INSP00000036.jpg"
"INSP00000037","2024-10-15","12:25",2024,3,"ORD00000723","PROD000038","Product 38","BATCH00037","INS0038","Inspector 38","Quality Control","QC Department","FAC06","Factory 6","LINE008","Assembly Line 8",4230,36,"0.85",3664,"Malfunction","D006","Minor","Malfunction found in batch","88.03","70.97","13.67","Fair","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.85% defect rate","photo_INSP00000037.jpg"
"INSP00000038","2024-12-17","17:18",2024,1,"ORD00000741","PROD000039","Product 39","BATCH00038","INS0039","Inspector 39","Quality Control","QC Department","FAC07","Factory 7","LINE009","Assembly Line 9",7468,78,"1.04",7315,"Dimension Error","D007","Cosmetic","Dimension Error found in batch","70.44","50.66","9.44","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 1.04% defect rate","null"
"INSP00000039","2024-04-08","17:35",2024,6,"ORD00000706","PROD000040","Product 40","BATCH00039","INS0040","Inspector 40","Quality Control","QC Department","FAC08","Factory 8","LINE010","Assembly Line 10",8172,66,"0.81",6534,"None","D000","None","None found in batch","85.85","63.42","29.7","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.81% defect rate","null"
"INSP00000040","2024-03-19","09:35",2024,3,"ORD00000597","PROD000041","Product 41","BATCH00040","INS0041","Inspector 41","Quality Control","QC Department","FAC01","Factory 1","LINE011","Assembly Line 11",6459,99,"1.53",1806,"Crack","D001","Critical","Crack found in batch","36.69","26.44","24.01","Good","Pass","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 1.53% defect rate","photo_INSP00000040.jpg"
"INSP00000041","2024-12-14","10:50",2024,4,"ORD00000940","PROD000042","Product 42","BATCH00041","INS0042","Inspector 42","Quality Control","QC Department","FAC02","Factory 2","LINE012","Assembly Line 12",1422,11,"0.77",501,"Dent","D002","Major","Dent found in batch","32.93","31.52","44.07","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.77% defect rate","photo_INSP00000041.jpg"
"INSP00000042","2024-08-04","08:09",2024,11,"ORD00000315","PROD000043","Product 43","BATCH00042","INS0043","Inspector 43","Quality Control","QC Department","FAC03","Factory 3","LINE013","Assembly Line 13",1058,78,"7.37",461,"Discoloration","D003","Minor","Discoloration found in batch","34.49","44.81","25.12","Good","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 7.37% defect rate","photo_INSP00000042.jpg"
"INSP00000043","2024-12-15","14:54",2024,1,"ORD00000017","PROD000044","Product 44","BATCH00043","INS0044","Inspector 44","Quality Control","QC Department","FAC04","Factory 4","LINE014","Assembly Line 14",7081,47,"0.66",4816,"Misalignment","D004","Cosmetic","Misalignment found in batch","75.32","92.21","31.89","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.66% defect rate","null"
"INSP00000044","2024-01-01","15:39",2024,12,"ORD00000161","PROD000045","Product 45","BATCH00044","INS0045","Inspector 45","Quality Control","QC Department","FAC05","Factory 5","LINE015","Assembly Line 15",9781,67,"0.69",2305,"Missing Part","D005","None","Missing Part found in batch","28.78","88.07","19.95","Poor","Fail","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 0.69% defect rate","null"
"INSP00000045","2024-01-07","09:11",2024,5,"ORD00000202","PROD000046","Product 46","BATCH00045","INS0046","Inspector 46","Quality Control","QC Department","FAC06","Factory 6","LINE016","Assembly Line 16",6796,32,"0.47",2574,"Malfunction","D006","Critical","Malfunction found in batch","98.36","37.72","22.35","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.47% defect rate","photo_INSP00000045.jpg"
"INSP00000046","2024-01-03","16:41",2024,7,"ORD00000573","PROD000047","Product 47","BATCH00046","INS0047","Inspector 47","Quality Control","QC Department","FAC07","Factory 7","LINE017","Assembly Line 17",487,18,"3.7",24,"Dimension Error","D007","Major","Dimension Error found in batch","40.08","91.2","29.54","Poor","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 3.7% defect rate","photo_INSP00000046.jpg"
"INSP00000047","2024-05-10","10:28",2024,6,"ORD00000035","PROD000048","Product 48","BATCH00047","INS0048","Inspector 48","Quality Control","QC Department","FAC08","Factory 8","LINE018","Assembly Line 18",7122,45,"0.63",2327,"None","D000","Minor","None found in batch","55.67","68.71","48.4","Fair","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.63% defect rate","photo_INSP00000047.jpg"
"INSP00000048","2024-10-28","11:44",2024,5,"ORD00000235","PROD000049","Product 49","BATCH00048","INS0049","Inspector 49","Quality Control","QC Department","FAC01","Factory 1","LINE019","Assembly Line 19",353,29,"8.22",206,"Crack","D001","Cosmetic","Crack found in batch","73.56","68.2","27.35","Good","Pass","Completed","Passed","No","Yes","Supervisor 9","Inspection completed - 8.22% defect rate","null"
"INSP00000049","2024-01-10","09:03",2024,6,"ORD00000676","PROD000050","Product 50","BATCH00049","INS0050","Inspector 50","Quality Control","QC Department","FAC02","Factory 2","LINE020","Assembly Line 20",1994,15,"0.75",1037,"Dent","D002","None","Dent found in batch","11.14","51.09","37.62","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.75% defect rate","photo_INSP00000049.jpg"
"INSP00000050","2024-07-20","12:28",2024,8,"ORD00000072","PROD000051","Product 51","BATCH00050","INS0001","Inspector 1","Quality Control","QC Department","FAC03","Factory 3","LINE021","Assembly Line 21",8302,41,"0.49",1373,"Discoloration","D003","Critical","Discoloration found in batch","40.86","75.61","28.7","Good","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.49% defect rate","photo_INSP00000050.jpg"
"INSP00000051","2024-04-26","16:45",2024,3,"ORD00000077","PROD000052","Product 52","BATCH00051","INS0002","Inspector 2","Quality Control","QC Department","FAC04","Factory 4","LINE022","Assembly Line 22",6296,17,"0.27",544,"Misalignment","D004","Major","Misalignment found in batch","62.84","70.51","33.66","Good","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.27% defect rate","photo_INSP00000051.jpg"
"INSP00000052","2024-11-20","16:31",2024,3,"ORD00000145","PROD000053","Product 53","BATCH00052","INS0003","Inspector 3","Quality Control","QC Department","FAC05","Factory 5","LINE023","Assembly Line 23",1043,36,"3.45",328,"Missing Part","D005","Minor","Missing Part found in batch","48.82","45.73","31.8","Poor","Fail","Completed","Passed","No","Yes","Supervisor 3","Inspection completed - 3.45% defect rate","null"
"INSP00000053","2024-05-16","10:32",2024,10,"ORD00000713","PROD000054","Product 54","BATCH00053","INS0004","Inspector 4","Quality Control","QC Department","FAC06","Factory 6","LINE024","Assembly Line 24",9909,30,"0.3",5161,"Malfunction","D006","Cosmetic","Malfunction found in batch","33.13","85.63","25.29","Poor","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.3% defect rate","photo_INSP00000053.jpg"
"INSP00000054","2024-08-20","16:42",2024,4,"ORD00000526","PROD000055","Product 55","BATCH00054","INS0005","Inspector 5","Quality Control","QC Department","FAC07","Factory 7","LINE025","Assembly Line 25",6835,5,"0.07",6688,"Dimension Error","D007","None","Dimension Error found in batch","67.84","19.17","16.72","Poor","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.07% defect rate","photo_INSP00000054.jpg"
"INSP00000055","2024-04-01","08:06",2024,4,"ORD00000276","PROD000056","Product 56","BATCH00055","INS0006","Inspector 6","Quality Control","QC Department","FAC08","Factory 8","LINE026","Assembly Line 26",6311,15,"0.24",3011,"None","D000","Critical","None found in batch","81.82","86.45","23","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.24% defect rate","photo_INSP00000055.jpg"
"INSP00000056","2024-09-04","08:51",2024,3,"ORD00000753","PROD000057","Product 57","BATCH00056","INS0007","Inspector 7","Quality Control","QC Department","FAC01","Factory 1","LINE027","Assembly Line 27",1282,53,"4.13",368,"Crack","D001","Major","Crack found in batch","27.37","58.69","3.25","Poor","Fail","Completed","Passed","No","Yes","Supervisor 7","Inspection completed - 4.13% defect rate","photo_INSP00000056.jpg"
"INSP00000057","2024-04-09","16:41",2024,10,"ORD00000508","PROD000058","Product 58","BATCH00057","INS0008","Inspector 8","Quality Control","QC Department","FAC02","Factory 2","LINE028","Assembly Line 28",6150,36,"0.59",2014,"Dent","D002","Minor","Dent found in batch","14.63","87.56","28.69","Good","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 0.59% defect rate","photo_INSP00000057.jpg"
"INSP00000058","2024-08-14","13:20",2024,12,"ORD00000007","PROD000059","Product 59","BATCH00058","INS0009","Inspector 9","Quality Control","QC Department","FAC03","Factory 3","LINE029","Assembly Line 29",8267,61,"0.74",640,"Discoloration","D003","Cosmetic","Discoloration found in batch","13.02","24.55","11.16","Fair","Pass","Pending","Conditional Pass","No","No","null","Inspection completed - 0.74% defect rate","photo_INSP00000058.jpg"
"INSP00000199","2024-10-26","13:38",2024,12,"ORD00000770","PROD000050","Product 50","BATCH00199","INS0050","Inspector 50","Quality Control","QC Department","FAC08","Factory 8","LINE020","Assembly Line 20",8532,49,"0.57",6398,"None","D000","None","None found in batch","54.81","95.58","32.18","Poor","Fail","On Hold","Pending","No","No","null","Inspection completed - 0.57% defect rate","null"
"INSP00000059","2024-12-09","09:22",2024,3,"ORD00000952","PROD000060","Product 60","BATCH00059","INS0010","Inspector 10","Quality Control","QC Department","FAC04","Factory 4","LINE030","Assembly Line 30",6372,90,"1.41",3491,"Misalignment","D004","None","Misalignment found in batch","22.41","97.32","16.54","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 1.41% defect rate","photo_INSP00000059.jpg"
"INSP00000060","2024-10-16","17:54",2024,3,"ORD00000116","PROD000061","Product 61","BATCH00060","INS0011","Inspector 11","Quality Control","QC Department","FAC05","Factory 5","LINE001","Assembly Line 1",6026,46,"0.76",2067,"Missing Part","D005","Critical","Missing Part found in batch","62.68","55.49","26.52","Fair","Pass","Completed","Passed","No","Yes","Supervisor 1","Inspection completed - 0.76% defect rate","null"
"INSP00000061","2024-08-12","14:29",2024,1,"ORD00000209","PROD000062","Product 62","BATCH00061","INS0012","Inspector 12","Quality Control","QC Department","FAC06","Factory 6","LINE002","Assembly Line 2",8730,33,"0.38",7003,"Malfunction","D006","Major","Malfunction found in batch","98.44","85.21","29.06","Good","Fail","In Progress","Failed","Yes","No","null","Inspection completed - 0.38% defect rate","photo_INSP00000061.jpg"
"INSP00000062","2024-01-22","13:47",2024,12,"ORD00000546","PROD000063","Product 63","BATCH00062","INS0013","Inspector 13","Quality Control","QC Department","FAC07","Factory 7","LINE003","Assembly Line 3",3766,13,"0.35",3173,"Dimension Error","D007","Minor","Dimension Error found in batch","96.46","76.72","35.66","Fair","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 0.35% defect rate","photo_INSP00000062.jpg"
"INSP00000063","2024-12-21","09:20",2024,7,"ORD00000452","PROD000064","Product 64","BATCH00063","INS0014","Inspector 14","Quality Control","QC Department","FAC08","Factory 8","LINE004","Assembly Line 4",5579,12,"0.22",2516,"None","D000","Cosmetic","None found in batch","22.05","23.42","1.34","Poor","Pass","On Hold","Pending","No","No","null","Inspection completed - 0.22% defect rate","null"
"INSP00000064","2024-10-15","15:13",2024,3,"ORD00000953","PROD000065","Product 65","BATCH00064","INS0015","Inspector 15","Quality Control","QC Department","FAC01","Factory 1","LINE005","Assembly Line 5",8459,72,"0.85",143,"Crack","D001","None","Crack found in batch","19.89","64.51","41.12","Good","Pass","Completed","Passed","No","Yes","Supervisor 5","Inspection completed - 0.85% defect rate","photo_INSP00000064.jpg"
"INSP00000065","2024-10-24","10:06",2024,4,"ORD00000358","PROD000066","Product 66","BATCH00065","INS0016","Inspector 16","Quality Control","QC Department","FAC02","Factory 2","LINE006","Assembly Line 6",685,59,"8.61",677,"Dent","D002","Critical","Dent found in batch","59.87","32.07","36.46","Poor","Pass","In Progress","Failed","Yes","No","null","Inspection completed - 8.61% defect rate","photo_INSP00000065.jpg"
"INSP00000066","2024-04-21","14:39",2024,5,"ORD00000051","PROD000067","Product 67","BATCH00066","INS0017","Inspector 17","Quality Control","QC Department","FAC03","Factory 3","LINE007","Assembly Line 7",477,5,"1.05",288,"Discoloration","D003","Major","Discoloration found in batch","86.21","32.06","44.05","Fair","Fail","Pending","Conditional Pass","No","No","null","Inspection completed - 1.05% defect rate","null"
